,raw
0,0.51
1,0.58
2,0.59
3,0.53
4,0.47
5,0.55
6,0.58
7,0.54
8,0.58
9,0.57
10,0.61
11,0.75
12,0.48
13,0.66
14,0.65
15,0.49
16,0.54
17,0.57
18,0.43
19,0.71
20,0.86
21,0.5
22,0.66
23,0.67
24,0.49
25,0.56
26,0.68
27,0.62
28,0.82
29,0.93
30,0.6
31,0.64
32,0.71
33,0.6
34,0.6
35,0.76
36,0.64
37,0.85
38,0.94
39,0.56
40,0.64
41,0.74
42,0.53
43,0.57
44,0.83
45,0.64
46,0.87
47,0.96
48,0.69
49,0.7
50,0.78
51,0.6
52,0.64
53,0.85
54,0.69
55,0.88
56,0.97
57,0.72
58,0.72
59,0.73
60,0.69
61,0.76
62,0.86
63,0.66
64,0.88
65,0.96
66,0.76
67,0.78
68,0.81
69,0.59
70,0.67
71,0.87
72,0.69
73,0.91
74,0.96
75,0.87
76,0.86
77,0.84
78,0.66
79,0.71
80,0.85
81,0.77
82,0.92
83,0.97
84,0.83
85,0.81
86,0.83
87,0.67
88,0.7
89,0.9
90,0.77
91,0.91
92,0.97
93,0.82
94,0.85
95,0.88
96,0.68
97,0.76
98,0.91
99,0.81
100,0.91
101,0.96
102,0.75
103,0.74
104,0.75
105,0.63
106,0.76
107,0.94
108,0.8
109,0.91
110,0.96
111,0.75
112,0.78
113,0.77
114,0.69
115,0.84
116,0.95
117,0.78
118,0.91
119,0.97
120,0.79
121,0.79
122,0.81
123,0.77
124,0.79
125,0.93
126,0.79
127,0.91
128,0.97
129,0.83
130,0.87
131,0.85
132,0.71
133,0.82
134,0.95
135,0.8
136,0.91
137,0.97
138,0.89
139,0.86
140,0.85
141,0.68
142,0.85
143,0.95
144,0.79
145,0.94
146,0.98
147,0.88
148,0.91
149,0.89
150,0.74
151,0.87
152,0.96
153,0.8
154,0.94
155,0.98
156,0.91
157,0.91
158,0.92
159,0.73
160,0.86
161,0.97
162,0.8
163,0.94
164,0.98
165,0.91
166,0.92
167,0.91
168,0.74
169,0.84
170,0.94
171,0.8
172,0.94
173,0.98
174,0.97
175,0.99
176,0.95
177,0.68
178,0.9
179,0.96
180,0.8
181,0.94
182,0.98
183,0.96
184,0.95
185,0.92
186,0.78
187,0.89
188,0.97
189,0.79
190,0.94
191,0.98
192,0.97
193,0.95
194,0.95
195,0.74
196,0.87
197,0.96
198,0.8
199,0.93
200,0.98
201,0.97
202,0.95
203,0.94
204,0.76
205,0.89
206,0.94
207,0.8
208,0.93
209,0.98
210,0.98
211,0.96
212,0.93
213,0.81
214,0.94
215,0.96
216,0.81
217,0.94
218,0.98
219,0.93
220,0.91
221,0.92
222,0.69
223,0.93
224,0.96
225,0.79
226,0.94
227,0.98
228,0.98
229,0.95
230,0.94
231,0.71
232,0.94
233,0.97
234,0.82
235,0.93
236,0.98
237,0.98
238,0.97
239,0.97
240,0.77
241,0.93
242,0.95
243,0.84
244,0.94
245,0.98
246,0.97
247,0.96
248,0.95
249,0.71
250,0.94
251,0.95
252,0.84
253,0.95
254,0.98
255,0.97
256,0.95
257,0.92
258,0.82
259,0.89
260,0.95
261,0.81
262,0.95
263,0.98
264,0.94
265,0.97
266,0.95
267,0.7
268,0.9
269,0.95
270,0.5
271,0.5
272,0.56
273,0.61
274,0.52
275,0.56
276,0.48
277,0.42
278,0.54
279,0.5
280,0.59
281,0.67
282,0.58
283,0.68
284,0.67
285,0.53
286,0.51
287,0.57
288,0.52
289,0.61
290,0.69
291,0.62
292,0.57
293,0.64
294,0.52
295,0.57
296,0.59
297,0.56
298,0.61
299,0.68
300,0.63
301,0.57
302,0.65
303,0.69
304,0.62
305,0.55
306,0.57
307,0.57
308,0.68
309,0.66
310,0.55
311,0.61
312,0.6
313,0.62
314,0.64
315,0.54
316,0.65
317,0.73
318,0.65
319,0.6
320,0.65
321,0.57
322,0.6
323,0.65
324,0.61
325,0.64
326,0.72
327,0.69
328,0.62
329,0.65
330,0.57
331,0.66
332,0.68
333,0.61
334,0.62
335,0.7
336,0.71
337,0.68
338,0.71
339,0.54
340,0.6
341,0.68
342,0.61
343,0.61
344,0.7
345,0.68
346,0.7
347,0.73
348,0.59
349,0.66
350,0.64
351,0.59
352,0.62
353,0.7
354,0.69
355,0.67
356,0.72
357,0.64
358,0.66
359,0.69
360,0.6
361,0.63
362,0.7
363,0.61
364,0.62
365,0.7
366,0.67
367,0.71
368,0.74
369,0.57
370,0.66
371,0.7
372,0.64
373,0.64
374,0.69
375,0.57
376,0.69
377,0.71
378,0.62
379,0.65
380,0.71
381,0.61
382,0.67
383,0.66
384,0.57
385,0.67
386,0.75
387,0.63
388,0.67
389,0.71
390,0.63
391,0.69
392,0.69
393,0.58
394,0.69
395,0.73
396,0.6
397,0.66
398,0.71
399,0.64
400,0.66
401,0.71
402,0.57
403,0.7
404,0.72
405,0.58
406,0.69
407,0.7
408,0.75
409,0.72
410,0.69
411,0.6
412,0.66
413,0.72
414,0.58
415,0.69
416,0.74
417,0.67
418,0.72
419,0.78
420,0.6
421,0.73
422,0.79
423,0.57
424,0.66
425,0.72
426,0.72
427,0.69
428,0.76
429,0.66
430,0.73
431,0.74
432,0.59
433,0.67
434,0.71
435,0.73
436,0.73
437,0.76
438,0.57
439,0.69
440,0.72
441,0.66
442,0.69
443,0.72
444,0.71
445,0.75
446,0.74
447,0.7
448,0.72
449,0.75
450,0.64
451,0.7
452,0.74
453,0.7
454,0.67
455,0.73
456,0.67
457,0.72
458,0.79
459,0.65
460,0.7
461,0.74
462,0.74
463,0.74
464,0.75
465,0.67
466,0.71
467,0.76
468,0.63
469,0.7
470,0.76
471,0.65
472,0.73
473,0.76
474,0.72
475,0.72
476,0.77
477,0.65
478,0.71
479,0.73
480,0.68
481,0.74
482,0.76
483,0.64
484,0.7
485,0.74
486,0.65
487,0.73
488,0.71
489,0.71
490,0.74
491,0.81
492,0.65
493,0.71
494,0.79
495,0.63
496,0.72
497,0.7
498,0.7
499,0.73
500,0.79
501,0.6
502,0.68
503,0.76
504,0.65
505,0.73
506,0.72
507,0.72
508,0.75
509,0.77
510,0.62
511,0.7
512,0.76
513,0.66
514,0.73
515,0.71
516,0.74
517,0.79
518,0.75
519,0.61
520,0.7
521,0.74
522,0.62
523,0.73
524,0.74
525,0.76
526,0.73
527,0.76
528,0.69
529,0.72
530,0.79
531,0.63
532,0.75
533,0.75
534,0.75
535,0.79
536,0.76
537,0.63
538,0.76
539,0.8
540,0.55
541,0.51
542,0.59
543,0.59
544,0.53
545,0.58
546,0.42
547,0.57
548,0.57
549,0.59
550,0.65
551,0.8
552,0.44
553,0.68
554,0.64
555,0.53
556,0.66
557,0.66
558,0.62
559,0.74
560,0.82
561,0.54
562,0.64
563,0.68
564,0.51
565,0.62
566,0.82
567,0.59
568,0.84
569,0.92
570,0.58
571,0.69
572,0.66
573,0.63
574,0.59
575,0.82
576,0.66
577,0.87
578,0.94
579,0.66
580,0.78
581,0.76
582,0.64
583,0.64
584,0.82
585,0.69
586,0.86
587,0.95
588,0.68
589,0.75
590,0.72
591,0.67
592,0.69
593,0.89
594,0.74
595,0.9
596,0.91
597,0.68
598,0.83
599,0.79
600,0.72
601,0.64
602,0.87
603,0.72
604,0.86
605,0.92
606,0.77
607,0.83
608,0.84
609,0.62
610,0.73
611,0.89
612,0.78
613,0.88
614,0.92
615,0.75
616,0.82
617,0.84
618,0.71
619,0.77
620,0.9
621,0.75
622,0.91
623,0.94
624,0.88
625,0.89
626,0.9
627,0.67
628,0.83
629,0.91
630,0.75
631,0.91
632,0.96
633,0.76
634,0.85
635,0.84
636,0.7
637,0.82
638,0.93
639,0.77
640,0.89
641,0.96
642,0.82
643,0.84
644,0.85
645,0.78
646,0.84
647,0.91
648,0.78
649,0.88
650,0.96
651,0.79
652,0.83
653,0.84
654,0.79
655,0.85
656,0.92
657,0.76
658,0.91
659,0.96
660,0.8
661,0.8
662,0.8
663,0.74
664,0.84
665,0.93
666,0.73
667,0.91
668,0.95
669,0.84
670,0.83
671,0.84
672,0.85
673,0.9
674,0.95
675,0.75
676,0.91
677,0.95
678,0.82
679,0.83
680,0.81
681,0.77
