,raw
0,0.5
1,0.5
2,0.62
3,0.5
4,0.5
5,0.56
6,0.5
7,0.5
8,0.575
9,0.5
10,0.565
11,0.705
12,0.5
13,0.6
14,0.595
15,0.5
16,0.575
17,0.545
18,0.57
19,0.715
20,0.785
21,0.54
22,0.61
23,0.635
24,0.525
25,0.53
26,0.675
27,0.565
28,0.795
29,0.87
30,0.635
31,0.63
32,0.625
33,0.495
34,0.59
35,0.78
36,0.615
37,0.865
38,0.84
39,0.61
40,0.625
41,0.61
42,0.49
43,0.585
44,0.765
45,0.665
46,0.8
47,0.93
48,0.67
49,0.64
50,0.655
51,0.555
52,0.62
53,0.845
54,0.705
55,0.865
56,0.925
57,0.67
58,0.695
59,0.685
60,0.57
61,0.69
62,0.845
63,0.72
64,0.895
65,0.905
66,0.695
67,0.695
68,0.76
69,0.525
70,0.665
71,0.855
72,0.74
73,0.855
74,0.89
75,0.775
76,0.8
77,0.815
78,0.61
79,0.75
80,0.835
81,0.74
82,0.91
83,0.945
84,0.805
85,0.81
86,0.84
87,0.63
88,0.765
89,0.905
90,0.73
91,0.9
92,0.94
93,0.79
94,0.795
95,0.825
96,0.68
97,0.735
98,0.895
99,0.685
100,0.88
101,0.94
102,0.695
103,0.73
104,0.7
105,0.585
106,0.73
107,0.925
108,0.7
109,0.915
110,0.94
111,0.69
112,0.69
113,0.7
114,0.66
115,0.74
116,0.935
117,0.755
118,0.88
119,0.96
120,0.725
121,0.765
122,0.775
123,0.665
124,0.765
125,0.905
126,0.775
127,0.905
128,0.945
129,0.725
130,0.81
131,0.835
132,0.65
133,0.715
134,0.955
135,0.785
136,0.895
137,0.965
138,0.745
139,0.83
140,0.81
141,0.71
142,0.76
143,0.9
144,0.77
145,0.92
146,0.97
147,0.81
148,0.895
149,0.9
150,0.705
151,0.815
152,0.95
153,0.79
154,0.89
155,0.945
156,0.865
157,0.915
158,0.895
159,0.66
160,0.83
161,0.91
162,0.78
163,0.895
164,0.98
165,0.865
166,0.855
167,0.885
168,0.66
169,0.81
170,0.935
171,0.795
172,0.905
173,0.96
174,0.85
175,0.91
176,0.915
177,0.635
178,0.845
179,0.935
180,0.78
181,0.93
182,0.96
183,0.915
184,0.915
185,0.9
186,0.73
187,0.86
188,0.96
189,0.82
190,0.95
191,0.955
192,0.935
193,0.91
194,0.91
195,0.725
196,0.88
197,0.955
198,0.805
199,0.93
200,0.96
201,0.95
202,0.93
203,0.93
204,0.715
205,0.875
206,0.925
207,0.765
208,0.93
209,0.96
210,0.925
211,0.905
212,0.91
213,0.685
214,0.905
215,0.92
216,0.795
217,0.93
218,0.95
219,0.89
220,0.885
221,0.91
222,0.695
223,0.885
224,0.965
225,0.79
226,0.93
227,0.955
228,0.955
229,0.945
230,0.92
231,0.735
232,0.9
233,0.955
234,0.81
235,0.935
236,0.955
237,0.95
238,0.925
239,0.92
240,0.665
241,0.905
242,0.975
243,0.8
244,0.94
245,0.955
246,0.93
247,0.945
248,0.935
249,0.68
250,0.925
251,0.96
252,0.805
253,0.935
254,0.96
255,0.92
256,0.915
257,0.89
258,0.795
259,0.86
260,0.945
261,0.78
262,0.93
263,0.965
264,0.925
265,0.905
266,0.9
267,0.69
268,0.84
269,0.945
270,0.5
271,0.5
272,0.54
273,0.5
274,0.5
275,0.505
276,0.5
277,0.5
278,0.55
279,0.5
280,0.51
281,0.575
282,0.5
283,0.505
284,0.53
285,0.5
286,0.525
287,0.545
288,0.54
289,0.575
290,0.585
291,0.545
292,0.545
293,0.55
294,0.535
295,0.55
296,0.615
297,0.495
298,0.555
299,0.57
300,0.525
301,0.505
302,0.54
303,0.535
304,0.52
305,0.57
306,0.515
307,0.51
308,0.595
309,0.55
310,0.54
311,0.57
312,0.505
313,0.53
314,0.585
315,0.515
316,0.55
317,0.64
318,0.56
319,0.575
320,0.58
321,0.485
322,0.59
323,0.58
324,0.54
325,0.585
326,0.595
327,0.56
328,0.555
329,0.585
330,0.56
331,0.625
332,0.6
333,0.52
334,0.61
335,0.64
336,0.51
337,0.545
338,0.625
339,0.525
340,0.555
341,0.665
342,0.535
343,0.555
344,0.585
345,0.635
346,0.615
347,0.62
348,0.535
349,0.555
350,0.66
351,0.535
352,0.64
353,0.65
354,0.61
355,0.61
356,0.665
357,0.545
358,0.59
359,0.695
360,0.55
361,0.625
362,0.65
363,0.59
364,0.615
365,0.655
366,0.55
367,0.6
368,0.725
369,0.59
370,0.605
371,0.695
372,0.545
373,0.585
374,0.635
375,0.57
376,0.615
377,0.65
378,0.58
379,0.62
380,0.69
381,0.545
382,0.655
383,0.65
384,0.56
385,0.61
386,0.69
387,0.57
388,0.63
389,0.67
390,0.525
391,0.615
392,0.6
393,0.58
394,0.6
395,0.7
396,0.595
397,0.645
398,0.645
399,0.54
400,0.63
401,0.64
402,0.53
403,0.64
404,0.645
405,0.575
406,0.62
407,0.7
408,0.565
409,0.635
410,0.675
411,0.6
412,0.635
413,0.655
414,0.525
415,0.655
416,0.7
417,0.585
418,0.67
419,0.66
420,0.54
421,0.67
422,0.72
423,0.57
424,0.64
425,0.675
426,0.58
427,0.665
428,0.66
429,0.55
430,0.67
431,0.695
432,0.585
433,0.65
434,0.69
435,0.595
436,0.67
437,0.67
438,0.59
439,0.605
440,0.715
441,0.58
442,0.695
443,0.72
444,0.625
445,0.7
446,0.7
447,0.6
448,0.65
449,0.705
450,0.565
451,0.68
452,0.7
453,0.65
454,0.705
455,0.71
456,0.565
457,0.64
458,0.765
459,0.59
460,0.685
461,0.72
462,0.64
463,0.675
464,0.68
465,0.63
466,0.655
467,0.735
468,0.6
469,0.655
470,0.72
471,0.625
472,0.67
473,0.695
474,0.6
475,0.665
476,0.73
477,0.585
478,0.685
479,0.695
480,0.585
481,0.69
482,0.715
483,0.605
484,0.64
485,0.735
486,0.62
487,0.7
488,0.725
489,0.625
490,0.695
491,0.745
492,0.545
493,0.66
494,0.715
495,0.585
496,0.7
497,0.735
498,0.645
499,0.695
500,0.72
501,0.57
502,0.655
503,0.705
504,0.6
505,0.68
506,0.735
507,0.65
508,0.695
509,0.715
510,0.6
511,0.67
512,0.725
513,0.575
514,0.69
515,0.72
516,0.66
517,0.735
518,0.72
519,0.605
520,0.695
521,0.74
522,0.635
523,0.715
524,0.695
525,0.675
526,0.685
527,0.68
528,0.6
529,0.67
530,0.735
531,0.595
532,0.7
533,0.73
534,0.66
535,0.755
536,0.715
537,0.575
538,0.68
539,0.73
540,0.5
541,0.5
542,0.64
543,0.5
544,0.5
545,0.62
546,0.5
547,0.5
548,0.625
549,0.5
550,0.635
551,0.695
552,0.5
553,0.62
554,0.635
555,0.5
556,0.6
557,0.61
558,0.545
559,0.68
560,0.76
561,0.635
562,0.62
563,0.63
564,0.565
565,0.565
566,0.73
567,0.565
568,0.725
569,0.835
570,0.58
571,0.66
572,0.71
573,0.575
574,0.58
575,0.76
576,0.62
577,0.735
578,0.84
579,0.675
580,0.725
581,0.695
582,0.57
583,0.575
584,0.76
585,0.62
586,0.825
587,0.86
588,0.685
589,0.75
590,0.765
591,0.6
592,0.62
593,0.835
594,0.685
595,0.835
596,0.875
597,0.69
598,0.765
599,0.795
600,0.705
601,0.685
602,0.845
603,0.66
604,0.805
605,0.855
606,0.745
607,0.79
608,0.845
609,0.72
610,0.72
611,0.865
612,0.715
613,0.785
614,0.875
615,0.8
616,0.825
617,0.78
618,0.605
619,0.7
620,0.88
621,0.665
622,0.865
623,0.91
624,0.795
625,0.84
626,0.875
627,0.57
628,0.73
629,0.895
630,0.71
631,0.88
632,0.915
633,0.74
634,0.82
635,0.825
636,0.655
637,0.825
638,0.895
639,0.72
640,0.86
641,0.92
642,0.76
643,0.785
644,0.82
645,0.6
646,0.825
647,0.91
648,0.715
649,0.875
650,0.925
651,0.75
652,0.8
653,0.825
654,0.66
655,0.805
656,0.89
657,0.67
658,0.875
659,0.93
660,0.755
661,0.76
662,0.79
663,0.66
664,0.785
665,0.91
666,0.73
667,0.89
668,0.925
669,0.735
670,0.845
671,0.83
672,0.795
673,0.82
674,0.92
675,0.71
676,0.88
677,0.925
678,0.73
679,0.79
680,0.805
681,0.8
682,0.83
683,0.91
684,0.725
685,0.885
686,0.935
687,0.79
688,0.9
689,0.865
690,0.73
691,0.855
692,0.925
693,0.73
694,0.88
695,0.94
696,0.805
697,0.86
698,0.85
699,0.755
700,0.9
701,0.91
702,0.72
703,0.88
704,0.935
705,0.87
706,0.885
707,0.905
708,0.715
709,0.89
710,0.885
711,0.725
712,0.9
713,0.96
714,0.875
715,0.92
716,0.895
717,0.695
718,0.88
719,0.93
720,0.715
721,0.9
722,0.935
723,0.87
724,0.865
725,0.845
726,0.66
727,0.87
728,0.945
729,0.745
730,0.89
731,0.95
732,0.865
733,0.875
734,0.865
735,0.675
736,0.895
737,0.945
738,0.73
739,0.89
740,0.945
741,0.875
742,0.9
743,0.895
744,0.775
745,0.895
746,0.92
747,0.73
748,0.92
749,0.95
750,0.91
751,0.9
752,0.89
753,0.745
754,0.89
755,0.91
756,0.72
757,0.945
758,0.94
759,0.91
760,0.915
761,0.92
762,0.755
763,0.9
764,0.935
765,0.735
766,0.92
767,0.94
768,0.965
769,0.93
770,0.925
771,0.775
772,0.91
773,0.93
774,0.74
775,0.92
776,0.935
777,0.925
778,0.93
779,0.915
780,0.76
781,0.9
782,0.915
783,0.795
784,0.91
785,0.945
786,0.925
787,0.93
788,0.915
789,0.745
790,0.88
791,0.915
792,0.76
793,0.9
794,0.94
795,0.92
796,0.915
797,0.89
798,0.8
799,0.87
800,0.92
801,0.765
802,0.91
803,0.945
804,0.93
805,0.91
806,0.895
807,0.715
808,0.835
809,0.945
810,0.5
811,0.5
812,0.55
813,0.5
814,0.5
815,0.525
816,0.5
817,0.5
818,0.565
819,0.5
820,0.605
821,0.61
822,0.5
823,0.54
824,0.54
825,0.5
826,0.55
827,0.53
828,0.495
829,0.605
830,0.64
831,0.52
832,0.59
833,0.565
834,0.58
835,0.545
836,0.59
837,0.53
838,0.63
839,0.655
840,0.56
841,0.6
842,0.59
843,0.575
844,0.57
845,0.615
846,0.53
847,0.63
848,0.645
849,0.53
850,0.56
851,0.585
852,0.555
853,0.55
854,0.675
855,0.54
856,0.65
857,0.715
858,0.505
859,0.59
860,0.575
861,0.615
862,0.615
863,0.675
864,0.555
865,0.65
866,0.715
867,0.55
868,0.54
869,0.61
870,0.635
871,0.615
872,0.66
873,0.52
874,0.685
875,0.67
876,0.63
877,0.585
878,0.575
879,0.655
880,0.58
881,0.68
882,0.565
883,0.62
884,0.7
885,0.635
886,0.69
887,0.665
888,0.64
889,0.64
890,0.7
891,0.545
892,0.64
893,0.705
894,0.605
895,0.595
896,0.635
897,0.57
898,0.66
899,0.74
900,0.555
901,0.625
902,0.67
903,0.59
904,0.59
905,0.665
906,0.565
907,0.64
908,0.72
909,0.535
910,0.63
911,0.71
912,0.605
913,0.595
914,0.655
915,0.615
916,0.655
917,0.72
918,0.545
919,0.675
920,0.69
921,0.645
922,0.63
923,0.68
924,0.635
925,0.66
926,0.745
927,0.555
928,0.65
929,0.765
930,0.61
931,0.585
932,0.62
933,0.62
934,0.67
935,0.735
936,0.545
937,0.72
938,0.73
939,0.57
940,0.625
941,0.7
942,0.615
943,0.73
944,0.76
945,0.53
946,0.72
947,0.735
948,0.65
949,0.68
950,0.705
951,0.575
952,0.705
953,0.75
954,0.535
955,0.715
956,0.76
957,0.635
958,0.79
959,0.755
960,0.59
961,0.71
962,0.76
963,0.58
964,0.74
965,0.76
966,0.63
967,0.695
968,0.755
969,0.545
970,0.735
971,0.73
972,0.555
973,0.74
974,0.755
975,0.63
976,0.71
977,0.755
978,0.58
979,0.72
980,0.8
981,0.555
982,0.755
983,0.765
984,0.73
985,0.715
986,0.765
987,0.605
988,0.675
989,0.76
990,0.575
991,0.74
992,0.73
993,0.695
994,0.685
995,0.745
996,0.59
997,0.76
998,0.795
999,0.555
1000,0.755
1001,0.745
1002,0.66
1003,0.71
1004,0.72
1005,0.57
1006,0.71
1007,0.775
1008,0.545
1009,0.765
1010,0.79
1011,0.73
1012,0.695
1013,0.725
1014,0.575
1015,0.72
1016,0.755
1017,0.54
1018,0.74
1019,0.77
1020,0.715
1021,0.765
1022,0.805
1023,0.59
1024,0.775
1025,0.795
1026,0.565
1027,0.745
1028,0.785
1029,0.685
1030,0.745
1031,0.73
1032,0.625
1033,0.72
1034,0.75
1035,0.575
1036,0.745
1037,0.77
1038,0.76
1039,0.76
1040,0.79
1041,0.61
1042,0.735
1043,0.775
1044,0.595
1045,0.775
1046,0.76
1047,0.685
1048,0.77
1049,0.77
1050,0.685
1051,0.745
1052,0.755
1053,0.575
1054,0.74
1055,0.765
1056,0.7
1057,0.77
1058,0.795
1059,0.635
1060,0.73
1061,0.765
1062,0.565
1063,0.795
1064,0.775
1065,0.69
1066,0.76
1067,0.76
1068,0.67
1069,0.745
1070,0.79
1071,0.57
1072,0.74
1073,0.77
1074,0.765
1075,0.785
1076,0.79
1077,0.62
1078,0.74
1079,0.78
1080,0.5
1081,0.5
1082,0.64
1083,0.5
1084,0.5
1085,0.585
1086,0.5
1087,0.5
1088,0.565
1089,0.5
1090,0.615
1091,0.745
1092,0.5
1093,0.61
1094,0.625
1095,0.5
1096,0.565
1097,0.635
1098,0.57
1099,0.675
1100,0.835
1101,0.61
1102,0.635
1103,0.68
1104,0.525
1105,0.64
1106,0.72
1107,0.57
1108,0.735
1109,0.85
1110,0.57
1111,0.615
1112,0.62
1113,0.495
1114,0.64
1115,0.745
1116,0.585
1117,0.78
1118,0.89
1119,0.62
1120,0.71
1121,0.73
1122,0.56
1123,0.64
1124,0.815
1125,0.6
1126,0.795
1127,0.9
1128,0.67
1129,0.69
1130,0.755
1131,0.555
1132,0.655
1133,0.82
1134,0.655
1135,0.83
1136,0.915
1137,0.63
1138,0.685
1139,0.69
1140,0.625
1141,0.71
1142,0.85
1143,0.66
1144,0.81
1145,0.93
1146,0.7
1147,0.77
1148,0.775
1149,0.575
1150,0.66
1151,0.87
1152,0.7
1153,0.82
1154,0.915
1155,0.715
1156,0.825
1157,0.845
1158,0.565
1159,0.705
1160,0.805
1161,0.64
1162,0.855
1163,0.945
1164,0.745
1165,0.855
1166,0.85
1167,0.59
1168,0.69
1169,0.93
1170,0.69
1171,0.83
1172,0.94
1173,0.81
1174,0.85
1175,0.86
1176,0.725
1177,0.75
1178,0.915
1179,0.695
1180,0.885
1181,0.94
1182,0.68
1183,0.775
1184,0.82
1185,0.545
1186,0.765
1187,0.935
1188,0.68
1189,0.92
1190,0.935
1191,0.79
1192,0.795
1193,0.78
1194,0.58
1195,0.8
1196,0.93
1197,0.71
1198,0.88
1199,0.93
1200,0.84
1201,0.825
1202,0.84
1203,0.64
1204,0.795
1205,0.93
1206,0.705
1207,0.9
1208,0.935
1209,0.8
1210,0.865
1211,0.865
1212,0.625
1213,0.78
1214,0.89
1215,0.75
1216,0.88
1217,0.94
1218,0.815
1219,0.85
1220,0.835
1221,0.65
1222,0.765
1223,0.95
1224,0.75
1225,0.91
1226,0.95
1227,0.825
1228,0.895
1229,0.89
1230,0.69
1231,0.84
1232,0.95
1233,0.74
1234,0.87
1235,0.935
1236,0.84
1237,0.905
1238,0.9
1239,0.695
1240,0.85
1241,0.92
1242,0.73
1243,0.885
1244,0.955
1245,0.895
1246,0.895
1247,0.885
1248,0.65
1249,0.795
1250,0.96
1251,0.725
1252,0.88
1253,0.955
1254,0.875
1255,0.88
1256,0.875
1257,0.595
1258,0.845
1259,0.945
1260,0.755
1261,0.905
1262,0.94
1263,0.895
1264,0.92
1265,0.925
1266,0.67
1267,0.885
1268,0.97
1269,0.745
1270,0.92
1271,0.935
1272,0.905
1273,0.945
1274,0.955
1275,0.655
1276,0.85
1277,0.93
1278,0.775
1279,0.895
1280,0.95
1281,0.95
1282,0.955
1283,0.945
1284,0.675
1285,0.855
1286,0.935
1287,0.755
1288,0.94
1289,0.95
1290,0.905
1291,0.92
1292,0.94
1293,0.68
1294,0.89
1295,0.925
1296,0.76
1297,0.925
1298,0.95
1299,0.935
1300,0.89
1301,0.905
1302,0.685
1303,0.88
1304,0.95
1305,0.75
1306,0.94
1307,0.945
1308,0.925
1309,0.915
1310,0.91
1311,0.74
1312,0.84
1313,0.93
1314,0.76
1315,0.935
1316,0.945
1317,0.93
1318,0.945
1319,0.92
1320,0.785
1321,0.875
1322,0.935
1323,0.775
1324,0.93
1325,0.955
1326,0.93
1327,0.93
1328,0.935
1329,0.7
1330,0.85
1331,0.94
1332,0.745
1333,0.93
1334,0.965
1335,0.935
1336,0.935
1337,0.91
1338,0.765
1339,0.86
1340,0.955
1341,0.755
1342,0.92
1343,0.955
1344,0.92
1345,0.915
1346,0.905
1347,0.73
1348,0.855
1349,0.94
1350,0.5
1351,0.5
1352,0.53
1353,0.5
1354,0.5
1355,0.53
1356,0.5
1357,0.5
1358,0.505
1359,0.5
1360,0.555
1361,0.595
1362,0.5
1363,0.54
1364,0.585
1365,0.5
1366,0.54
1367,0.58
1368,0.525
1369,0.635
1370,0.615
1371,0.55
1372,0.52
1373,0.565
1374,0.555
1375,0.6
1376,0.615
1377,0.52
1378,0.625
1379,0.63
1380,0.51
1381,0.595
1382,0.555
1383,0.535
1384,0.595
1385,0.6
1386,0.53
1387,0.615
1388,0.655
1389,0.54
1390,0.54
1391,0.545
1392,0.54
1393,0.575
1394,0.635
1395,0.545
1396,0.65
1397,0.7
1398,0.525
1399,0.565
1400,0.57
1401,0.55
1402,0.57
1403,0.625
1404,0.57
1405,0.66
1406,0.65
1407,0.56
1408,0.59
1409,0.58
1410,0.585
1411,0.62
1412,0.665
1413,0.57
1414,0.65
1415,0.68
1416,0.545
1417,0.57
1418,0.575
1419,0.61
1420,0.56
1421,0.7
1422,0.555
1423,0.65
1424,0.68
1425,0.61
1426,0.615
1427,0.62
1428,0.535
1429,0.585
1430,0.665
1431,0.55
1432,0.68
1433,0.715
1434,0.585
1435,0.625
1436,0.655
1437,0.6
1438,0.59
1439,0.705
1440,0.615
1441,0.645
1442,0.71
1443,0.575
1444,0.62
1445,0.71
1446,0.61
1447,0.71
1448,0.695
1449,0.58
1450,0.64
1451,0.735
1452,0.575
1453,0.65
1454,0.655
1455,0.625
1456,0.61
1457,0.705
1458,0.53
1459,0.63
1460,0.75
1461,0.58
1462,0.65
1463,0.665
1464,0.655
1465,0.62
1466,0.73
1467,0.55
1468,0.7
1469,0.77
1470,0.645
1471,0.7
1472,0.645
1473,0.57
1474,0.565
1475,0.75
1476,0.55
1477,0.72
1478,0.78
1479,0.58
1480,0.7
1481,0.73
1482,0.62
1483,0.65
1484,0.695
1485,0.56
1486,0.685
1487,0.795
1488,0.54
1489,0.665
1490,0.66
1491,0.585
1492,0.685
1493,0.74
1494,0.58
1495,0.7
1496,0.795
1497,0.625
1498,0.67
1499,0.735
1500,0.59
1501,0.66
1502,0.74
1503,0.535
1504,0.725
1505,0.755
1506,0.66
1507,0.71
1508,0.715
1509,0.62
1510,0.685
1511,0.735
1512,0.565
1513,0.735
1514,0.765
1515,0.67
1516,0.685
1517,0.72
1518,0.625
1519,0.7
1520,0.78
1521,0.595
1522,0.705
1523,0.78
1524,0.63
1525,0.655
1526,0.685
1527,0.62
1528,0.7
1529,0.67
1530,0.555
1531,0.725
1532,0.755
1533,0.65
1534,0.7
1535,0.685
1536,0.58
1537,0.72
1538,0.735
1539,0.56
1540,0.78
1541,0.79
1542,0.67
1543,0.79
1544,0.725
1545,0.64
1546,0.725
1547,0.72
1548,0.57
1549,0.715
1550,0.775
1551,0.64
1552,0.78
1553,0.75
1554,0.65
1555,0.725
1556,0.74
1557,0.585
1558,0.75
1559,0.74
1560,0.66
1561,0.69
1562,0.735
1563,0.575
1564,0.69
1565,0.765
1566,0.65
1567,0.73
1568,0.795
1569,0.67
1570,0.695
1571,0.73
1572,0.59
1573,0.685
1574,0.76
1575,0.605
1576,0.75
1577,0.755
1578,0.655
1579,0.72
1580,0.74
1581,0.595
1582,0.625
1583,0.755
1584,0.61
1585,0.755
1586,0.78
1587,0.665
1588,0.74
1589,0.73
1590,0.605
1591,0.75
1592,0.76
1593,0.59
1594,0.725
1595,0.81
1596,0.68
1597,0.73
1598,0.77
1599,0.655
1600,0.725
1601,0.75
1602,0.57
1603,0.74
1604,0.785
1605,0.625
1606,0.715
1607,0.75
1608,0.61
1609,0.695
1610,0.725
1611,0.625
1612,0.735
1613,0.775
1614,0.71
1615,0.74
1616,0.73
1617,0.61
1618,0.695
1619,0.765
1620,0.5
1621,0.5
1622,0.615
1623,0.5
1624,0.5
1625,0.515
1626,0.5
1627,0.5
1628,0.565
1629,0.5
1630,0.605
1631,0.69
1632,0.5
1633,0.515
1634,0.58
1635,0.5
1636,0.55
1637,0.6
1638,0.585
1639,0.735
1640,0.755
1641,0.575
1642,0.61
1643,0.625
1644,0.535
1645,0.595
1646,0.685
1647,0.58
1648,0.8
1649,0.795
1650,0.535
1651,0.6
1652,0.605
1653,0.555
1654,0.61
1655,0.755
1656,0.59
1657,0.78
1658,0.805
1659,0.565
1660,0.62
1661,0.63
1662,0.605
1663,0.64
1664,0.8
1665,0.675
1666,0.815
1667,0.845
1668,0.56
1669,0.615
1670,0.615
1671,0.59
1672,0.605
1673,0.795
1674,0.67
1675,0.815
1676,0.86
1677,0.545
1678,0.6
1679,0.65
1680,0.635
1681,0.58
1682,0.825
1683,0.675
1684,0.815
1685,0.865
1686,0.635
1687,0.71
1688,0.7
1689,0.59
1690,0.705
1691,0.835
1692,0.69
1693,0.815
1694,0.875
1695,0.74
1696,0.715
1697,0.725
